2
433 6546
171 15 8586
294 52 7614
161 183 5845
41 34 787
100 394 3660
142 430 2358
157 414 7091
112 128 9054
29 223 1153
177 232 3677
389 30 5028
213 94 7
19 34 8639
249 121 727
221 419 1530
107 316 2423
99 353 4515
153 298 9926
257 209 4527
82 47 6258
86 25 142
229 188 9511
194 375 4966
107 238 640
381 372 8474
360 381 5106
136 296 4432
297 299 3676
424 344 3383
398 277 8724
93 373 6304
136 35 2004
321 382 2492
226 282 909
99 171 745
103 428 5659
347 196 8009
261 320 7589
2 235 3453
132 125 400
142 396 1162
1 246 8063
29 135 165
250 185 3401
410 277 7553
72 154 1448
370 165 8775
100 400 6363
82 416 6167
139 250 6566
430 266 7728
319 107 2142
69 242 8658
320 127 2058
302 71 5963
207 71 7410
410 422 324
204 85 1383
294 308 2600
55 406 511
319 303 8855
102 26 9625
429 132 8915
24 262 487
54 88 5098
225 249 5623
355 318 2748
227 230 1589
270 311 939
359 337 5676
358 36 6696
391 123 7554
271 237 2860
184 286 7015
70 245 5324
362 152 5600
331 80 3199
377 390 9599
374 65 7516
163 369 3115
67 119 2962
333 414 1136
328 66 2482
355 147 2955
126 63 3667
228 138 4228
239 24 8400
173 298 2858
157 335 6279
200 173 320
194 88 5489
400 230 642
177 41 1755
265 223 1390
120 428 6386
230 205 1839
429 196 9723
270 242 2786
87 71 2616
81 240 6504
35 15 2828
120 415 1932
163 134 1369
295 270 350
356 261 5890
168 231 6016
260 125 9975
76 5 965
5 160 7641
301 284 4813
235 390 1947
152 316 8357
199 259 8826
357 418 2186
92 385 4097
76 179 5519
151 86 9737
406 254 1502
23 167 7319
281 15 9819
11 156 5672
9 249 367
157 92 7249
100 189 8074
402 204 7878
267 50 2102
111 78 6233
407 168 6345
276 94 1576
373 430 4540
204 71 1742
419 255 6007
111 226 1972
127 356 4651
397 130 747
376 60 6149
120 324 3225
127 202 8300
27 235 5988
270 26 6633
313 195 5046
138 237 6822
27 36 3021
128 342 2469
113 278 3703
270 382 819
165 51 9336
55 178 1693
61 13 9393
385 354 3402
118 178 9890
124 339 880
301 418 4034
375 102 2009
408 351 6525
323 77 5459
264 110 3618
336 49 881
396 59 9945
223 69 5089
266 172 4500
340 11 6272
104 331 2763
194 402 9592
252 81 466
383 200 6130
186 177 6382
222 214 798
129 81 4028
424 120 8413
195 211 4233
69 313 9236
349 236 243
362 213 6628
433 114 858
150 266 9340
314 29 188
234 430 1794
122 334 5850
410 291 8101
15 114 1947
80 207 9983
243 211 6736
399 367 8944
25 335 2262
12 3 9566
275 231 2668
6 66 8831
177 159 5289
196 312 1984
355 205 358
272 137 4909
16 365 4613
353 121 5880
86 111 8303
110 35 1401
264 387 8601
414 52 8988
164 383 7007
30 44 5742
409 10 7252
368 278 2123
27 406 5940
355 369 5299
145 160 3179
195 401 436
364 293 6409
282 246 7639
325 89 2270
173 391 6152
30 319 3737
186 24 9675
151 319 7598
71 288 592
138 233 3952
241 294 9940
230 93 1769
203 367 8458
320 3 5190
258 288 900
323 3 3924
418 175 8267
179 42 1541
350 264 8358
248 93 8245
431 111 8561
203 397 4354
156 305 577
162 290 6216
182 27 983
279 176 7915
5 422 6966
47 325 260
265 364 3735
195 58 2690
396 174 6655
401 424 6065
85 375 976
11 302 1731
141 177 4247
1 327 1026
78 300 2156
106 184 7313
392 354 4092
363 369 5790
231 253 5
197 30 3029
82 115 2982
354 27 1971
295 404 4239
352 333 4335
50 159 2532
428 419 7098
252 143 2275
134 217 70
239 12 5078
383 235 5860
393 194 9473
200 191 3790
410 207 7730
382 264 2276
64 75 1693
55 170 2947
148 258 9001
334 211 885
362 150 344
409 385 4032
76 286 8013
12 409 9614
226 360 6919
409 37 4172
376 345 8752
336 234 5517
113 411 1779
408 261 1631
392 299 7212
145 232 8528
270 397 1309
101 406 2186
429 39 5833
231 141 135
22 151 2132
349 276 4354
319 323 250
116 393 2096
164 6 6311
40 58 7974
417 282 2942
114 76 3393
99 268 412
324 387 7137
188 421 3138
370 313 2811
356 396 9103
176 276 3718
336 99 4835
26 140 1853
38 160 5156
320 397 6404
317 332 7913
305 418 251
342 238 3940
218 295 4083
255 30 6197
244 102 8412
236 46 6006
221 133 2543
66 425 9253
352 110 4741
374 264 248
41 239 5255
267 315 2600
356 384 8062
109 432 5050
43 312 1110
136 160 7392
404 139 7503
362 339 5768
422 334 1480
220 233 1681
280 272 9485
136 7 2028
214 9 6096
176 238 7203
130 414 4452
216 58 1559
232 178 6062
102 37 9815
256 292 7972
365 18 9640
347 170 29
207 356 8443
233 390 2471
413 384 8898
26 207 273
87 9 8655
162 68 2755
60 370 5113
38 31 1335
211 205 6159
196 155 6186
228 206 3022
36 133 2915
167 206 277
18 227 159
99 75 22
191 296 904
162 383 3011
347 409 5759
300 282 627
41 417 5647
401 95 6655
319 410 5679
70 293 8813
349 101 3261
64 226 6178
228 275 9121
210 57 8152
263 323 3085
125 231 4595
130 387 9617
280 85 7236
13 7 5894
293 152 4413
297 286 1690
394 345 4349
100 2 1045
329 245 883
74 342 6272
180 95 1250
268 367 8327
295 406 3690
23 426 359
377 264 3952
69 299 8395
134 188 6549
73 117 2083
294 343 2253
14 151 2773
393 114 3050
172 44 3709
285 384 3102
421 313 4235
325 168 6434
184 201 4864
124 279 2784
426 52 9077
47 194 6509
299 381 3233
233 191 5035
359 402 6511
173 211 924
74 347 4566
314 98 626
228 326 6222
384 308 6690
33 259 9083
125 186 4445
126 366 3658
321 251 2993
419 366 6403
249 311 2214
224 202 468
167 63 1523
267 429 5681
388 395 4986
248 427 8688
12 406 2519
116 222 1435
60 405 5505
143 370 481
101 217 72
241 72 3731
311 100 9342
34 281 9689
92 262 5987
330 183 1021
65 91 7513
158 255 1973
2 274 6689
148 342 342
334 34 5796
143 40 324
80 3 8493
327 252 7279
391 201 6551
249 320 5703
150 240 169
128 206 8040
260 283 2973
284 184 665
341 287 1166
343 285 5744
426 221 8516
269 381 1004
133 189 1591
49 91 8912
90 34 4357
198 430 445
24 183 8610
232 196 709
382 249 3574
244 45 7275
345 205 5543
240 271 423
80 24 8899
88 127 6013
116 383 2786
256 233 378
262 220 3466
22 57 2385
245 206 181
377 405 2649
358 235 112
13 114 7415
135 226 1836
206 65 2628
122 59 5495
130 322 605
271 223 5996
377 304 7345
56 213 5316
327 217 1075
115 113 3069
244 189 7110
376 186 3256
147 381 394
159 210 2843
243 349 2255
191 61 1778
259 139 6373
66 246 6750
353 416 2832
350 394 8247
175 344 4887
299 431 6824
227 341 5658
243 288 3755
135 29 3900
233 218 6471
235 32 1284
298 120 7075
304 24 4025
404 373 4782
414 274 9456
40 321 1815
121 4 3694
206 158 423
327 284 1146
235 215 2819
390 74 5084
236 334 7989
284 52 6851
189 427 9095
97 211 4142
294 295 2749
412 296 4523
31 195 9857
299 332 4297
138 88 3745
200 409 2682
389 192 7480
331 91 8537
15 132 7740
415 403 631
384 79 4801
177 199 7072
31 22 9454
135 372 8405
70 318 5122
208 101 8777
433 248 7007
72 427 3237
336 281 5140
64 354 3849
157 75 2467
174 191 5514
211 87 6681
81 210 2744
166 393 1200
249 277 8515
283 411 8828
44 92 7424
304 234 3856
56 258 3570
381 106 4356
368 205 5314
15 430 4613
310 24 4813
154 12 211
378 40 903
175 258 9569
347 409 41
74 146 7207
331 371 6104
311 167 6417
31 24 242
389 325 3707
155 285 6265
239 216 6319
30 257 5344
124 114 2115
82 288 9990
246 67 8558
328 377 6606
288 425 685
238 9 3262
140 102 9850
167 162 9833
132 48 5956
67 404 3065
173 406 8731
350 363 9077
123 164 4231
146 351 8048
84 100 448
130 343 2140
25 92 8437
383 412 302
407 304 8900
85 101 4441
20 413 4180
294 23 389
44 200 6755
60 32 6837
86 386 3090
217 78 1930
247 369 3598
315 376 8154
175 78 8212
239 9 3740
167 309 2785
212 341 7460
426 244 1403
252 37 9523
159 178 8426
336 53 5148
97 320 6597
5 209 5326
276 296 1169
283 174 6431
317 309 7826
263 59 434
180 207 9685
274 383 9809
88 18 8853
356 400 3617
50 349 2591
30 93 4213
399 9 5134
94 283 7903
36 342 9663
119 256 1890
162 260 7676
10 123 3775
84 69 7023
221 417 509
91 227 8866
405 304 2987
425 46 3730
395 295 9306
279 70 3455
298 77 5312
55 111 5040
14 236 1338
168 400 6432
218 105 6044
63 399 4376
390 356 5320
63 400 6907
47 107 6655
199 49 4644
81 167 1403
79 364 4660
254 76 3157
347 402 3998
65 314 2388
186 228 8294
376 296 7955
382 36 1935
21 413 1719
61 144 1562
387 344 4774
305 322 2299
111 119 9108
152 257 5328
100 37 4333
14 352 2982
79 291 140
187 89 5147
105 391 1731
363 88 1902
111 231 9114
189 414 8678
237 181 1985
89 199 6726
163 281 2979
165 106 9491
427 366 638
334 77 5387
102 95 9700
84 88 3880
325 135 8921
348 281 2579
42 289 5864
307 267 5581
141 111 4783
420 127 3154
427 133 8043
299 206 4699
400 28 1408
431 133 6242
411 360 761
407 397 6090
91 318 8176
265 430 8830
177 260 3380
219 381 9805
116 255 142
115 63 8180
400 282 9063
387 307 875
404 293 1867
148 210 7506
173 111 6467
291 38 7088
203 217 6094
223 130 9166
430 380 2147
232 106 2970
359 201 6079
340 145 1172
151 109 5776
344 398 1517
420 30 971
9 337 3
158 393 543
331 114 7375
349 410 3652
154 301 120
272 423 5125
177 276 6427
240 421 2970
326 142 9162
376 100 1094
37 406 9644
155 114 9994
84 144 2819
148 417 6979
211 351 2615
158 237 1555
94 181 2861
180 184 111
80 260 5172
396 218 9196
175 262 1354
361 432 8733
119 231 7427
166 339 2953
102 122 3808
329 241 2962
330 322 2845
342 241 980
20 220 9494
417 288 6256
87 35 2236
387 356 7436
432 285 5103
62 416 9906
218 157 4554
360 66 2814
336 216 6163
422 171 1026
273 3 372
195 308 9716
63 14 6501
16 309 4020
297 258 8616
293 259 9461
44 342 9883
206 227 8850
174 160 5212
358 117 7238
134 57 2333
101 266 2022
175 200 8202
272 10 5876
263 108 127
368 73 8382
225 317 6297
192 52 1327
77 395 6433
417 403 7163
265 340 848
136 40 6981
2 421 1819
282 62 300
100 377 3508
382 28 6545
115 368 2020
271 229 4488
339 422 6761
362 366 1353
324 199 5642
200 353 3647
9 253 7787
391 126 4563
180 373 7993
170 431 3045
44 300 9179
303 397 8981
364 248 4950
365 289 5000
104 195 6368
256 378 1388
326 258 8431
404 145 5700
375 124 2718
89 223 2314
205 87 165
145 171 1624
281 65 5313
365 39 7663
367 156 4892
314 30 7848
186 90 7159
318 424 995
410 236 9655
128 342 9350
201 306 272
111 321 793
77 405 5399
174 417 7202
241 384 7556
351 56 8453
171 426 3540
292 267 603
252 15 6909
22 275 4098
7 197 5213
329 398 2136
239 130 1145
255 148 6243
297 251 6079
88 107 3371
54 422 2210
162 202 4676
342 229 2819
5 403 5708
238 33 5657
407 146 9182
426 174 7907
163 93 7143
356 262 904
351 90 435
361 71 3582
325 343 3856
211 416 5899
405 182 9367
219 8 2664
82 224 3358
280 13 4945
244 118 9175
244 205 3249
316 288 4723
357 165 1105
374 9 3229
355 416 4402
189 335 7884
370 334 1421
283 41 2929
88 36 4542
289 366 7406
83 261 4114
235 143 7096
425 48 3371
431 122 7852
340 3 8862
385 118 1923
280 308 2743
4 325 6033
210 242 8272
44 339 70
36 336 4920
129 53 3726
46 19 3274
229 352 7145
158 43 1898
150 89 727
194 147 2055
199 341 2193
1 288 849
58 115 9319
26 57 3130
122 291 5530
189 71 1242
76 346 7721
169 135 8195
16 92 3418
326 245 4921
260 157 3181
193 96 8421
173 241 4239
417 199 5336
170 247 8529
222 392 7265
140 162 4916
195 61 5684
350 71 2079
411 226 5079
168 352 4723
185 72 6099
163 160 4775
62 235 3523
272 226 7262
80 43 6070
39 299 9572
201 259 1263
415 376 6688
29 46 9279
257 225 4737
109 147 7958
352 386 3439
327 216 6850
21 285 4025
402 399 4140
198 223 4790
312 85 45
93 201 1749
219 252 6023
170 127 1436
392 201 3871
329 252 1748
59 69 5658
360 279 4584
119 433 3405
311 47 9386
261 77 146
189 190 8664
304 90 6074
356 130 4750
376 182 2120
313 343 4281
52 167 2359
305 17 3525
418 298 7744
211 183 1086
397 203 5825
217 48 519
283 390 8209
105 316 4523
51 144 4199
124 6 5193
235 118 944
375 418 1005
382 83 9401
334 307 3919
330 275 8404
146 149 6549
415 165 101
173 84 1436
34 157 1989
150 12 8333
389 46 2216
429 371 9295
211 179 506
346 81 2901
153 282 8568
239 277 7652
49 331 5169
336 331 7192
317 223 8469
411 39 3825
218 137 4834
239 100 208
342 424 9823
270 292 7775
140 262 5148
1 428 7766
432 157 8853
143 287 263
400 6 9224
94 217 6286
317 380 288
138 387 8525
213 138 4707
14 336 1881
182 42 6670
425 230 1125
401 349 8147
276 28 7836
118 48 7980
363 289 6918
343 262 2982
185 3 8388
360 374 1486
190 386 6430
12 247 2471
327 222 8176
392 351 1198
428 138 352
348 57 5533
12 393 5211
141 365 9560
178 417 7063
69 246 631
52 141 87
43 116 5908
349 411 6889
124 342 3501
194 42 8242
89 417 4080
260 121 6590
100 22 5705
344 197 1712
341 171 2192
283 170 5498
322 70 9862
403 384 4658
378 247 8306
386 224 1657
257 320 2545
151 282 8007
305 43 2254
127 83 4621
237 65 9847
266 418 9418
311 148 2466
211 181 1461
242 164 4580
352 230 3018
197 165 9832
211 88 4201
431 204 4039
377 28 8907
196 178 5866
266 115 5547
404 160 740
39 95 1000
89 215 5919
51 167 2646
310 65 2126
291 309 8439
415 50 4525
44 422 9738
52 101 4845
271 19 9333
376 45 7755
409 349 3621
39 409 7939
175 116 9016
228 131 4860
128 173 4366
144 355 9190
212 344 1584
214 41 8873
146 156 4551
310 89 4388
29 330 7201
411 305 4449
217 242 713
394 288 1713
270 153 3632
364 276 4319
29 234 516
379 305 7481
114 144 1079
56 252 6856
265 383 4607
250 197 8979
341 304 2243
134 163 9747
25 249 7266
190 37 9590
113 381 7594
101 193 7369
178 375 7407
171 47 3393
109 67 9432
202 220 9146
145 157 472
201 395 8778
73 172 8923
248 27 5272
396 161 3367
94 221 4791
378 418 8415
157 294 1494
414 392 8415
53 424 27
285 389 7130
228 409 6788
237 402 713
19 171 8889
83 75 9281
303 270 8758
214 73 4800
136 11 4838
198 273 5726
193 11 2072
375 371 5558
326 106 4778
356 51 6775
218 300 1517
264 300 8595
348 313 1953
326 125 2608
148 296 4318
242 60 6828
74 285 9569
155 281 4390
115 152 5410
136 314 4110
80 244 9412
419 73 6588
205 182 5355
3 390 4153
42 65 4098
389 275 6685
43 64 3975
132 46 8699
99 198 7986
323 163 8625
28 15 7679
226 249 388
320 136 3330
72 184 1613
427 237 2741
330 100 8847
6 375 2008
359 419 7001
17 395 3030
288 7 1225
11 301 8360
156 43 2303
141 376 8001
60 300 7406
110 10 9476
18 67 4881
356 262 448
92 44 2099
38 183 574
132 248 1283
400 328 4687
228 226 199
148 190 7108
353 54 4418
279 362 2633
228 11 2201
53 421 9808
421 220 5778
246 189 2459
271 3 539
68 304 2290
201 413 4447
200 350 4693
268 78 6357
185 264 107
162 325 8683
56 339 4579
404 285 2507
149 345 9466
280 25 4837
130 10 3493
81 88 145
194 322 7094
425 77 2342
58 91 9646
46 377 8480
146 83 3724
135 38 2179
328 383 9589
176 311 9233
301 275 6039
239 19 4695
237 378 8103
283 266 7017
246 173 2208
10 64 6308
118 429 572
415 98 2105
168 36 5739
104 88 7580
11 433 8167
275 335 8845
14 39 1357
371 355 3098
28 153 4074
92 115 7095
329 333 844
213 275 3546
123 363 413
199 136 908
173 369 6221
394 33 3492
313 190 9217
34 319 3194
28 9 7763
353 190 8923
186 363 1503
390 260 9228
359 428 6980
238 265 7994
387 135 560
293 117 8011
354 271 7746
115 150 7867
185 111 1742
207 188 1580
388 225 38
295 235 7689
13 291 9341
264 15 4379
164 239 4031
368 329 5519
119 57 1337
269 247 5543
201 425 4884
418 346 3433
316 328 7341
318 363 4746
53 145 1898
165 92 9209
89 94 290
41 307 5011
196 91 3214
301 58 468
387 52 3614
71 293 3118
305 390 7903
74 298 3119
365 83 698
370 276 1266
290 419 5521
410 35 7670
1 264 8427
414 137 2833
305 362 1458
258 222 3339
106 19 2760
103 219 9758
27 240 2022
425 193 1595
94 138 151
418 389 777
146 202 8991
292 272 6129
432 371 438
270 425 4096
271 352 9593
150 418 1565
433 104 7460
256 315 2823
353 70 9567
177 143 1629
215 364 371
83 424 5358
260 2 9761
243 44 841
336 313 8068
75 317 5695
259 247 6842
211 301 4910
413 417 1163
338 190 1121
31 222 5158
257 173 5348
28 297 7226
99 351 2249
273 97 3757
275 83 860
66 123 9668
24 273 8554
143 286 2760
258 270 5140
167 62 2824
251 165 8449
88 175 848
362 17 458
199 81 7726
423 386 8598
277 353 8284
288 36 3301
163 5 3766
79 89 1950
149 214 9481
381 165 379
319 420 2704
113 369 6217
58 210 8110
56 313 3747
179 269 7878
89 7 993
418 235 4352
254 137 5469
112 293 5466
90 377 9499
28 275 9267
61 335 8348
258 233 6286
278 357 9541
191 414 2620
119 101 7894
398 338 3916
322 353 9797
94 432 677
74 230 5730
340 431 3404
385 370 899
97 289 8672
340 215 4447
303 424 3175
40 234 3138
424 31 3988
372 426 9491
255 297 7948
106 366 5190
190 206 1597
398 104 6222
383 134 5283
45 416 9592
211 143 6544
167 394 368
421 208 2057
71 181 2314
24 45 6606
161 245 6752
148 214 4952
126 74 4122
289 248 8961
312 127 5755
311 212 395
321 328 9150
269 408 2617
369 401 8360
153 12 6174
115 142 9441
85 177 7536
288 256 216
346 32 4731
361 381 9752
42 271 9726
132 255 4178
266 48 2597
47 320 2620
133 17 88
304 27 2948
349 203 6391
128 156 2011
302 88 6031
226 302 85
10 299 115
345 302 2664
148 100 4453
300 134 7537
344 210 6933
116 324 2896
219 202 8527
201 81 5131
330 363 477
65 150 9878
298 233 5439
137 331 1203
257 155 6319
287 150 6109
106 132 8930
199 114 4605
321 182 5278
236 116 4835
319 172 3493
91 329 5982
334 172 8406
348 387 489
383 77 6408
234 415 1465
324 68 8277
251 4 3285
248 388 9435
249 61 9469
264 368 9047
20 221 6902
162 342 6766
421 201 1458
311 36 937
409 104 2359
96 34 3260
98 428 4221
123 209 4488
361 113 8940
225 421 6355
154 111 3563
342 198 6791
362 165 5127
63 35 2475
93 116 5155
338 22 9275
243 306 115
100 56 8633
79 317 106
156 124 9367
330 320 2614
24 275 5828
433 337 7414
103 20 4212
350 36 5334
107 329 5891
22 312 6864
161 186 5185
181 297 2992
225 399 3401
193 104 1811
271 102 5123
272 379 6453
291 412 7260
286 115 1184
97 83 7880
275 270 9662
125 73 8048
135 224 227
225 1 8788
190 116 2788
173 291 9437
48 281 1879
166 381 5238
115 169 4694
41 17 9049
111 114 3929
80 397 5801
105 230 3296
53 66 6521
377 165 3897
341 145 5334
115 14 9363
17 72 3399
374 80 4356
365 273 4863
282 71 9867
153 329 3527
347 240 82
368 206 9819
92 23 2492
413 274 2614
358 154 8955
395 68 673
384 260 8674
256 329 3198
244 153 5772
339 401 6057
104 44 4805
86 381 5890
22 25 8099
390 204 6923
92 356 5447
104 210 5548
